s	Shannon	Simpson	Richness	Chao1	Ace	pielou	Goods_coverage	Region	Site	Season	Site2	Month	Category
LTCMW2Feb04fish	2.500992908	0.883002513	68	68	68.22830088	0.410843232	0.999979287	LT	CMW2	Feb	CMW	2	04fish
LTCMW2May04fish	1.872822403	0.764348846	43	61.33333333	81.91468254	0.345140255	0.999772162	LT	CMW2	May	CMW	5	04fish
LTCMW2Nov04fish	2.257976902	0.852730632	23	23	23.5	0.499159053	0.999979287	LT	CMW2	Nov	CMW	11	04fish
LTCMW3Aug04fish	1.290138564	0.543711662	55	58.11111111	59.55804855	0.223154868	0.9998343	LT	CMW3	Aug	CMW	8	04fish
LTCMW3Feb04fish	2.381315632	0.878143081	59	61.5	61.88340188	0.404803693	0.999875725	LT	CMW3	Feb	CMW	2	04fish
LTCMW3May04fish	1.73779638	0.804256947	33	36.33333333	39.62760417	0.344500517	0.999896437	LT	CMW3	May	CMW	5	04fish
LTCMW3Nov04fish	2.019191205	0.823358153	26	32	35.28994083	0.42957496	0.99991715	LT	CMW3	Nov	CMW	11	04fish
LTPC1Aug04fish	2.007383667	0.816743748	35	56	41.81851852	0.391357556	0.999855012	LT	PC1	Aug	PC	8	04fish
LTPC1Feb04fish	2.215286269	0.851211598	56	61.25	59.82853648	0.38146218	0.999855012	LT	PC1	Feb	PC	2	04fish
LTPC1May04fish	1.766707507	0.762544486	39	44.25	46.60114927	0.334261695	0.999855012	LT	PC1	May	PC	5	04fish
LTPC1Nov04fish	0.785179063	0.327486774	28	29	31.46484375	0.163328707	0.999937862	LT	PC1	Nov	PC	11	04fish
LTPC2Aug04fish	1.229047142	0.529989376	39	43.2	44.78387409	0.232536161	0.999855012	LT	PC2	Aug	PC	8	04fish
LTPC2May04fish	2.438597194	0.874059285	38	38	38	0.46467814	1	LT	PC2	May	PC	5	04fish
LTPC2Nov04fish	1.42984633	0.653975619	22	22.5	25.22469136	0.320634209	0.999958575	LT	PC2	Nov	PC	11	04fish
LTPC3Aug04fish	1.452143164	0.675750174	51	62	61.67091571	0.256000401	0.999772162	LT	PC3	Aug	PC	8	04fish
LTPC3Feb04fish	2.180823573	0.81320155	59	61.5	61.58977786	0.370721724	0.999896437	LT	PC3	Feb	PC	2	04fish
LTPC3May04fish	2.332378694	0.845118712	69	76.5	72.07206302	0.381823583	0.999875725	LT	PC3	May	PC	5	04fish
LTPC3Nov04fish	0.01762064	0.003972027	7	7	7	0.006276598	1	LT	PC3	Nov	PC	11	04fish
SKBlu1Aug04fish	1.016804467	0.458998768	33	33.5	33.76330376	0.201571178	0.999958575	SK	Blu1	Aug	Blu	8	04fish
SKBlu1Feb04fish	2.630293144	0.905887646	40	43.33333333	44.97443182	0.494236881	0.999896437	SK	Blu1	Feb	Blu	2	04fish
SKBlu1May04fish	1.650527768	0.663731205	38	39	42	0.314510398	0.999958575	SK	Blu1	May	Blu	5	04fish
SKBlu1Nov04fish	1.315282317	0.587212934	27	34.5	51.896	0.276616916	0.999875725	SK	Blu1	Nov	Blu	11	04fish
SKBlu2Aug04fish	2.679053385	0.902283033	40	40	40.2345859	0.50339902	0.999979287	SK	Blu2	Aug	Blu	8	04fish
SKBlu2Feb04fish	1.55611084	0.696566085	39	39	39.20048285	0.29441673	0.999979287	SK	Blu2	Feb	Blu	2	04fish
SKBlu2May04fish	2.408752503	0.88494231	49	54.6	56.23257209	0.429007477	0.9998343	SK	Blu2	May	Blu	5	04fish
SKBlu2Nov04fish	1.821123276	0.781038055	33	39	42.90318772	0.361019229	0.99991715	SK	Blu2	Nov	Blu	11	04fish
SKBlu3Aug04fish	1.887518436	0.778237479	22	22.33333333	22.79012346	0.423264352	0.999958575	SK	Blu3	Aug	Blu	8	04fish
SKBlu3Feb04fish	1.859425701	0.789665097	39	49	43.14176366	0.351804011	0.999896437	SK	Blu3	Feb	Blu	2	04fish
SKBlu3May04fish	2.339481212	0.874698093	48	55	53.47368421	0.418889332	0.999855012	SK	Blu3	May	Blu	5	04fish
SKBlu3Nov04fish	1.73631847	0.804538024	17	18.5	21.41348713	0.424791255	0.999937862	SK	Blu3	Nov	Blu	11	04fish
SKLKW1Aug04fish	0.928463709	0.397129425	34	40	35.47864691	0.182500342	0.99991715	SK	LKW1	Aug	LKW	8	04fish
SKLKW1Feb04fish	1.995680825	0.779084276	53	53.33333333	53.89862677	0.348412804	0.999958575	SK	LKW1	Feb	LKW	2	04fish
SKLKW1May04fish	1.405759791	0.521100639	54	56	57.55639754	0.244272332	0.999896437	SK	LKW1	May	LKW	5	04fish
SKLKW1Nov04fish	0.41440459	0.128210385	25	28	32.6	0.089237171	0.999937862	SK	LKW1	Nov	LKW	11	04fish
SKLKW2Aug04fish	1.915522605	0.749467588	36	37.5	37.36114958	0.370512648	0.999937862	SK	LKW2	Aug	LKW	8	04fish
SKLKW2Feb04fish	2.260811322	0.852770871	45	46.5	47.56727273	0.411666387	0.99991715	SK	LKW2	Feb	LKW	2	04fish
SKLKW2May04fish	2.128040668	0.81515021	61	63.5	64.49205837	0.358815531	0.999896437	SK	LKW2	May	LKW	5	04fish
SKLKW2Nov04fish	2.087977687	0.845075471	35	35	35	0.407070088	1	SK	LKW2	Nov	LKW	11	04fish
SKLKW3Aug04fish	1.134584268	0.592991133	36	36.5	36.61088853	0.219458555	0.999958575	SK	LKW3	Aug	LKW	8	04fish
SKLKW3Feb04fish	1.722445037	0.776032018	37	40	38.61885487	0.330638345	0.999937862	SK	LKW3	Feb	LKW	2	04fish
SKLKW3May04fish	2.7460825	0.917587623	50	57	60.19117647	0.486561388	0.999855012	SK	LKW3	May	LKW	5	04fish
SKLKW3Nov04fish	1.706163467	0.752980726	23	23	23.78892734	0.377172565	0.999979287	SK	LKW3	Nov	LKW	11	04fish
SKSha1Aug04fish	0.771921509	0.270927266	34	37.33333333	37.84869456	0.151730152	0.999896437	SK	Sha1	Aug	Sha	8	04fish
SKSha1Feb04fish	1.613769898	0.731415716	58	60	60.53880208	0.275482269	0.999896437	SK	Sha1	Feb	Sha	2	04fish
SKSha1May04fish	1.575637719	0.694567646	29	29	29.32863622	0.324340034	0.999979287	SK	Sha1	May	Sha	5	04fish
SKSha1Nov04fish	1.556707543	0.760340895	20	23	21.51182238	0.36018821	0.999937862	SK	Sha1	Nov	Sha	11	04fish
SKSha2Aug04fish	0.742068285	0.298880514	22	23.5	25.85676643	0.16640423	0.99991715	SK	Sha2	Aug	Sha	8	04fish
SKSha2Feb04fish	2.277409769	0.853314904	61	83.5	77.17241379	0.384001118	0.999792875	SK	Sha2	Feb	Sha	2	04fish
SKSha2May04fish	1.292960342	0.508714637	62	71.33333333	66.21415476	0.217151111	0.9998343	SK	Sha2	May	Sha	5	04fish
SKSha2Nov04fish	1.107164671	0.661586587	12	15	14.9054817	0.308835775	0.999937862	SK	Sha2	Nov	Sha	11	04fish
SKSha3Aug04fish	0.834024385	0.309481432	24	27	27.92517007	0.181904298	0.99991715	SK	Sha3	Aug	Sha	8	04fish
SKSha3Feb04fish	2.494912798	0.890277719	62	67	64.23370837	0.419017558	0.999896437	SK	Sha3	Feb	Sha	2	04fish
SKSha3May04fish	2.036972827	0.724069476	64	64.25	65.35850483	0.339495471	0.999958575	SK	Sha3	May	Sha	5	04fish
SKSha3Nov04fish	1.176111535	0.595925996	19	19	19.60325926	0.276867138	0.999979287	SK	Sha3	Nov	Sha	11	04fish
